epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,789.937,1.3929,2.48209,1.59897,0.31347,0.22213,0.1836,0.07126,1.97078,3.4494,2.35785,0.000658228,0.000658228,0.000658228
2,1602.06,1.61219,2.36174,1.77911,0.14097,0.24517,0.09252,0.0286,2.385,4.6505,3.32535,0.00131178,0.00131178,0.00131178
3,2446.53,1.71258,2.39011,1.90322,0.16311,0.17761,0.08048,0.02529,2.52632,6.64229,3.72808,0.00195213,0.00195213,0.00195213
4,3254.06,1.73097,2.30862,1.92853,0.23018,0.31853,0.16809,0.05315,2.21743,3.04463,2.5397,0.0019406,0.0019406,0.0019406
5,4102.01,1.71686,2.22582,1.8811,0.26766,0.28764,0.17564,0.06495,2.14541,3.09395,2.50597,0.0019208,0.0019208,0.0019208
6,4918.86,1.6866,2.17302,1.84718,0.31715,0.3417,0.25766,0.09525,2.07858,2.47125,2.45543,0.001901,0.001901,0.001901
7,5729.26,1.64938,2.10726,1.80362,0.38045,0.31081,0.22893,0.09198,1.95622,3.15584,2.40738,0.0018812,0.0018812,0.0018812
8,6542.91,1.59431,2.0532,1.76411,0.31933,0.35135,0.26448,0.11064,1.82404,2.97638,2.1499,0.0018614,0.0018614,0.0018614
9,7378.97,1.57005,2.02996,1.75396,0.39688,0.34749,0.29761,0.12871,1.93332,2.35878,2.21631,0.0018416,0.0018416,0.0018416
10,8203.05,1.57075,1.99139,1.75022,0.45405,0.38224,0.36858,0.17248,1.74693,2.23312,2.11248,0.0018218,0.0018218,0.0018218
11,9081.61,1.51712,1.9476,1.70496,0.49667,0.44981,0.44314,0.20483,1.73463,2.09547,2.03959,0.001802,0.001802,0.001802
12,10064.8,1.51786,1.92508,1.70566,0.39141,0.39382,0.35175,0.16644,1.72515,2.40685,2.1436,0.0017822,0.0017822,0.0017822
13,10715.8,1.47539,1.86087,1.66293,0.57221,0.42278,0.4317,0.20735,1.66055,2.05856,1.99181,0.0017624,0.0017624,0.0017624
14,11351.1,1.47701,1.8442,1.6888,0.54624,0.44208,0.44885,0.21355,1.69604,2.02248,2.00054,0.0017426,0.0017426,0.0017426
15,11978.4,1.44529,1.77384,1.63049,0.47871,0.51351,0.4649,0.22199,1.58945,2.04302,1.89022,0.0017228,0.0017228,0.0017228
